asset,conditioning_asset,quantile_level,threshold_asset,threshold_conditioning_asset,observations,asset_exceedance_count,conditioning_exceedance_count,joint_exceedance_count,tail_dependence,stress_regime,regime_label
BNP.PA,GLE.PA,0.975,0.033084,0.03784,4221,106,106,65,0.613208,0,calm
CBK.DE,GLE.PA,0.975,0.043989,0.03784,4221,106,106,39,0.367925,0,calm
DBK.DE,GLE.PA,0.975,0.038838,0.03784,4221,106,106,41,0.386792,0,calm
GLE.PA,GLE.PA,0.975,0.03784,0.03784,4221,106,106,106,1.0,0,calm
INGA.AS,GLE.PA,0.975,0.034477,0.03784,4221,106,106,52,0.490566,0,calm
ISP.MI,GLE.PA,0.975,0.036141,0.03784,4221,106,106,47,0.443396,0,calm
SAN.MC,GLE.PA,0.975,0.034251,0.03784,4221,106,106,48,0.45283,0,calm
BBVA.MC,INGA.AS,0.975,0.035334,0.034477,4221,106,106,42,0.396226,0,calm
BNP.PA,INGA.AS,0.975,0.033084,0.034477,4221,106,106,56,0.528302,0,calm
CBK.DE,INGA.AS,0.975,0.043989,0.034477,4221,106,106,33,0.311321,0,calm
DBK.DE,INGA.AS,0.975,0.038838,0.034477,4221,106,106,34,0.320755,0,calm
GLE.PA,INGA.AS,0.975,0.03784,0.034477,4221,106,106,52,0.490566,0,calm
INGA.AS,INGA.AS,0.975,0.034477,0.034477,4221,106,106,106,1.0,0,calm
ISP.MI,INGA.AS,0.975,0.036141,0.034477,4221,106,106,48,0.45283,0,calm
SAN.MC,INGA.AS,0.975,0.034251,0.034477,4221,106,106,41,0.386792,0,calm
BBVA.MC,ISP.MI,0.975,0.035334,0.036141,4221,106,106,41,0.386792,0,calm
BNP.PA,ISP.MI,0.975,0.033084,0.036141,4221,106,106,43,0.40566,0,calm
CBK.DE,ISP.MI,0.975,0.043989,0.036141,4221,106,106,28,0.264151,0,calm
DBK.DE,ISP.MI,0.975,0.038838,0.036141,4221,106,106,32,0.301887,0,calm
GLE.PA,ISP.MI,0.975,0.03784,0.036141,4221,106,106,47,0.443396,0,calm
INGA.AS,ISP.MI,0.975,0.034477,0.036141,4221,106,106,48,0.45283,0,calm
ISP.MI,ISP.MI,0.975,0.036141,0.036141,4221,106,106,106,1.0,0,calm
SAN.MC,ISP.MI,0.975,0.034251,0.036141,4221,106,106,43,0.40566,0,calm
BBVA.MC,SAN.MC,0.975,0.035334,0.034251,4221,106,106,63,0.59434,0,calm
BNP.PA,SAN.MC,0.975,0.033084,0.034251,4221,106,106,45,0.424528,0,calm
CBK.DE,SAN.MC,0.975,0.043989,0.034251,4221,106,106,29,0.273585,0,calm
DBK.DE,SAN.MC,0.975,0.038838,0.034251,4221,106,106,42,0.396226,0,calm
GLE.PA,SAN.MC,0.975,0.03784,0.034251,4221,106,106,48,0.45283,0,calm
INGA.AS,SAN.MC,0.975,0.034477,0.034251,4221,106,106,41,0.386792,0,calm
ISP.MI,SAN.MC,0.975,0.036141,0.034251,4221,106,106,43,0.40566,0,calm
SAN.MC,SAN.MC,0.975,0.034251,0.034251,4221,106,106,106,1.0,0,calm
BBVA.MC,BBVA.MC,0.975,0.070692,0.070692,1055,27,27,27,1.0,1,stress
BNP.PA,BBVA.MC,0.975,0.078387,0.070692,1055,27,27,10,0.37037,1,stress
CBK.DE,BBVA.MC,0.975,0.102053,0.070692,1055,27,27,8,0.296296,1,stress
DBK.DE,BBVA.MC,0.975,0.092111,0.070692,1055,27,27,9,0.333333,1,stress
GLE.PA,BBVA.MC,0.975,0.100594,0.070692,1055,27,27,9,0.333333,1,stress
INGA.AS,BBVA.MC,0.975,0.106085,0.070692,1055,27,27,8,0.296296,1,stress
ISP.MI,BBVA.MC,0.975,0.084069,0.070692,1055,27,27,9,0.333333,1,stress
SAN.MC,BBVA.MC,0.975,0.071415,0.070692,1055,27,27,20,0.740741,1,stress
BBVA.MC,BNP.PA,0.975,0.070692,0.078387,1055,27,27,10,0.37037,1,stress
BNP.PA,BNP.PA,0.975,0.078387,0.078387,1055,27,27,27,1.0,1,stress
CBK.DE,BNP.PA,0.975,0.102053,0.078387,1055,27,27,9,0.333333,1,stress
DBK.DE,BNP.PA,0.975,0.092111,0.078387,1055,27,27,10,0.37037,1,stress
GLE.PA,BNP.PA,0.975,0.100594,0.078387,1055,27,27,12,0.444444,1,stress
INGA.AS,BNP.PA,0.975,0.106085,0.078387,1055,27,27,12,0.444444,1,stress
ISP.MI,BNP.PA,0.975,0.084069,0.078387,1055,27,27,13,0.481481,1,stress
SAN.MC,BNP.PA,0.975,0.071415,0.078387,1055,27,27,12,0.444444,1,stress
BBVA.MC,CBK.DE,0.975,0.070692,0.102053,1055,27,27,8,0.296296,1,stress
BNP.PA,CBK.DE,0.975,0.078387,0.102053,1055,27,27,9,0.333333,1,stress
CBK.DE,CBK.DE,0.975,0.102053,0.102053,1055,27,27,27,1.0,1,stress
DBK.DE,CBK.DE,0.975,0.092111,0.102053,1055,27,27,16,0.592593,1,stress
GLE.PA,CBK.DE,0.975,0.100594,0.102053,1055,27,27,11,0.407407,1,stress
INGA.AS,CBK.DE,0.975,0.106085,0.102053,1055,27,27,12,0.444444,1,stress
ISP.MI,CBK.DE,0.975,0.084069,0.102053,1055,27,27,13,0.481481,1,stress
SAN.MC,CBK.DE,0.975,0.071415,0.102053,1055,27,27,10,0.37037,1,stress
BBVA.MC,DBK.DE,0.975,0.070692,0.092111,1055,27,27,9,0.333333,1,stress
BNP.PA,DBK.DE,0.975,0.078387,0.092111,1055,27,27,10,0.37037,1,stress
CBK.DE,DBK.DE,0.975,0.102053,0.092111,1055,27,27,16,0.592593,1,stress
DBK.DE,DBK.DE,0.975,0.092111,0.092111,1055,27,27,27,1.0,1,stress
GLE.PA,DBK.DE,0.975,0.100594,0.092111,1055,27,27,12,0.444444,1,stress
INGA.AS,DBK.DE,0.975,0.106085,0.092111,1055,27,27,11,0.407407,1,stress
ISP.MI,DBK.DE,0.975,0.084069,0.092111,1055,27,27,11,0.407407,1,stress
SAN.MC,DBK.DE,0.975,0.071415,0.092111,1055,27,27,10,0.37037,1,stress
BBVA.MC,GLE.PA,0.975,0.070692,0.100594,1055,27,27,9,0.333333,1,stress
BNP.PA,GLE.PA,0.975,0.078387,0.100594,1055,27,27,12,0.444444,1,stress
CBK.DE,GLE.PA,0.975,0.102053,0.100594,1055,27,27,11,0.407407,1,stress
DBK.DE,GLE.PA,0.975,0.092111,0.100594,1055,27,27,12,0.444444,1,stress
GLE.PA,GLE.PA,0.975,0.100594,0.100594,1055,27,27,27,1.0,1,stress
INGA.AS,GLE.PA,0.975,0.106085,0.100594,1055,27,27,9,0.333333,1,stress
ISP.MI,GLE.PA,0.975,0.084069,0.100594,1055,27,27,13,0.481481,1,stress
SAN.MC,GLE.PA,0.975,0.071415,0.100594,1055,27,27,11,0.407407,1,stress
BBVA.MC,INGA.AS,0.975,0.070692,0.106085,1055,27,27,8,0.296296,1,stress
BNP.PA,INGA.AS,0.975,0.078387,0.106085,1055,27,27,12,0.444444,1,stress
CBK.DE,INGA.AS,0.975,0.102053,0.106085,1055,27,27,12,0.444444,1,stress
DBK.DE,INGA.AS,0.975,0.092111,0.106085,1055,27,27,11,0.407407,1,stress
GLE.PA,INGA.AS,0.975,0.100594,0.106085,1055,27,27,9,0.333333,1,stress
INGA.AS,INGA.AS,0.975,0.106085,0.106085,1055,27,27,27,1.0,1,stress
ISP.MI,INGA.AS,0.975,0.084069,0.106085,1055,27,27,14,0.518519,1,stress
SAN.MC,INGA.AS,0.975,0.071415,0.106085,1055,27,27,10,0.37037,1,stress
BBVA.MC,ISP.MI,0.975,0.070692,0.084069,1055,27,27,9,0.333333,1,stress
BNP.PA,ISP.MI,0.975,0.078387,0.084069,1055,27,27,13,0.481481,1,stress
CBK.DE,ISP.MI,0.975,0.102053,0.084069,1055,27,27,13,0.481481,1,stress
DBK.DE,ISP.MI,0.975,0.092111,0.084069,1055,27,27,11,0.407407,1,stress
GLE.PA,ISP.MI,0.975,0.100594,0.084069,1055,27,27,13,0.481481,1,stress
INGA.AS,ISP.MI,0.975,0.106085,0.084069,1055,27,27,14,0.518519,1,stress
ISP.MI,ISP.MI,0.975,0.084069,0.084069,1055,27,27,27,1.0,1,stress
SAN.MC,ISP.MI,0.975,0.071415,0.084069,1055,27,27,9,0.333333,1,stress
BBVA.MC,SAN.MC,0.975,0.070692,0.071415,1055,27,27,20,0.740741,1,stress
BNP.PA,SAN.MC,0.975,0.078387,0.071415,1055,27,27,12,0.444444,1,stress
CBK.DE,SAN.MC,0.975,0.102053,0.071415,1055,27,27,10,0.37037,1,stress
DBK.DE,SAN.MC,0.975,0.092111,0.071415,1055,27,27,10,0.37037,1,stress
GLE.PA,SAN.MC,0.975,0.100594,0.071415,1055,27,27,11,0.407407,1,stress
INGA.AS,SAN.MC,0.975,0.106085,0.071415,1055,27,27,10,0.37037,1,stress
ISP.MI,SAN.MC,0.975,0.084069,0.071415,1055,27,27,9,0.333333,1,stress
SAN.MC,SAN.MC,0.975,0.071415,0.071415,1055,27,27,27,1.0,1,stress
