asset,conditioning_asset,quantile_level,threshold_asset,threshold_conditioning_asset,observations,asset_exceedance_count,conditioning_exceedance_count,joint_exceedance_count,tail_dependence,stress_regime,regime_label
BNP.PA,SAN.MC,0.9,0.018478,0.019514,4221,422,422,228,0.540284,0,calm
CBK.DE,SAN.MC,0.9,0.025346,0.019514,4221,422,422,195,0.462085,0,calm
DBK.DE,SAN.MC,0.9,0.021096,0.019514,4221,422,422,215,0.509479,0,calm
GLE.PA,SAN.MC,0.9,0.020998,0.019514,4221,422,422,224,0.530806,0,calm
INGA.AS,SAN.MC,0.9,0.018298,0.019514,4221,422,422,219,0.518957,0,calm
ISP.MI,SAN.MC,0.9,0.01984,0.019514,4221,422,422,233,0.552133,0,calm
SAN.MC,SAN.MC,0.9,0.019514,0.019514,4221,422,422,422,1.0,0,calm
BBVA.MC,BBVA.MC,0.9,0.038584,0.038584,1055,106,106,106,1.0,1,stress
BNP.PA,BBVA.MC,0.9,0.04444,0.038584,1055,106,106,67,0.632075,1,stress
CBK.DE,BBVA.MC,0.9,0.055257,0.038584,1055,106,106,61,0.575472,1,stress
DBK.DE,BBVA.MC,0.9,0.046608,0.038584,1055,106,106,66,0.622642,1,stress
GLE.PA,BBVA.MC,0.9,0.05287,0.038584,1055,106,106,67,0.632075,1,stress
INGA.AS,BBVA.MC,0.9,0.054349,0.038584,1055,106,106,66,0.622642,1,stress
ISP.MI,BBVA.MC,0.9,0.040748,0.038584,1055,106,106,66,0.622642,1,stress
SAN.MC,BBVA.MC,0.9,0.039879,0.038584,1055,106,106,82,0.773585,1,stress
BBVA.MC,BNP.PA,0.9,0.038584,0.04444,1055,106,106,67,0.632075,1,stress
BNP.PA,BNP.PA,0.9,0.04444,0.04444,1055,106,106,106,1.0,1,stress
CBK.DE,BNP.PA,0.9,0.055257,0.04444,1055,106,106,63,0.59434,1,stress
DBK.DE,BNP.PA,0.9,0.046608,0.04444,1055,106,106,68,0.641509,1,stress
GLE.PA,BNP.PA,0.9,0.05287,0.04444,1055,106,106,73,0.688679,1,stress
INGA.AS,BNP.PA,0.9,0.054349,0.04444,1055,106,106,62,0.584906,1,stress
ISP.MI,BNP.PA,0.9,0.040748,0.04444,1055,106,106,65,0.613208,1,stress
SAN.MC,BNP.PA,0.9,0.039879,0.04444,1055,106,106,66,0.622642,1,stress
BBVA.MC,CBK.DE,0.9,0.038584,0.055257,1055,106,106,61,0.575472,1,stress
BNP.PA,CBK.DE,0.9,0.04444,0.055257,1055,106,106,63,0.59434,1,stress
CBK.DE,CBK.DE,0.9,0.055257,0.055257,1055,106,106,106,1.0,1,stress
DBK.DE,CBK.DE,0.9,0.046608,0.055257,1055,106,106,77,0.726415,1,stress
GLE.PA,CBK.DE,0.9,0.05287,0.055257,1055,106,106,59,0.556604,1,stress
INGA.AS,CBK.DE,0.9,0.054349,0.055257,1055,106,106,67,0.632075,1,stress
ISP.MI,CBK.DE,0.9,0.040748,0.055257,1055,106,106,63,0.59434,1,stress
SAN.MC,CBK.DE,0.9,0.039879,0.055257,1055,106,106,63,0.59434,1,stress
BBVA.MC,DBK.DE,0.9,0.038584,0.046608,1055,106,106,66,0.622642,1,stress
BNP.PA,DBK.DE,0.9,0.04444,0.046608,1055,106,106,68,0.641509,1,stress
CBK.DE,DBK.DE,0.9,0.055257,0.046608,1055,106,106,77,0.726415,1,stress
DBK.DE,DBK.DE,0.9,0.046608,0.046608,1055,106,106,106,1.0,1,stress
GLE.PA,DBK.DE,0.9,0.05287,0.046608,1055,106,106,64,0.603774,1,stress
INGA.AS,DBK.DE,0.9,0.054349,0.046608,1055,106,106,65,0.613208,1,stress
ISP.MI,DBK.DE,0.9,0.040748,0.046608,1055,106,106,60,0.566038,1,stress
SAN.MC,DBK.DE,0.9,0.039879,0.046608,1055,106,106,68,0.641509,1,stress
BBVA.MC,GLE.PA,0.9,0.038584,0.05287,1055,106,106,67,0.632075,1,stress
BNP.PA,GLE.PA,0.9,0.04444,0.05287,1055,106,106,73,0.688679,1,stress
CBK.DE,GLE.PA,0.9,0.055257,0.05287,1055,106,106,59,0.556604,1,stress
DBK.DE,GLE.PA,0.9,0.046608,0.05287,1055,106,106,64,0.603774,1,stress
GLE.PA,GLE.PA,0.9,0.05287,0.05287,1055,106,106,106,1.0,1,stress
INGA.AS,GLE.PA,0.9,0.054349,0.05287,1055,106,106,61,0.575472,1,stress
ISP.MI,GLE.PA,0.9,0.040748,0.05287,1055,106,106,65,0.613208,1,stress
SAN.MC,GLE.PA,0.9,0.039879,0.05287,1055,106,106,67,0.632075,1,stress
BBVA.MC,INGA.AS,0.9,0.038584,0.054349,1055,106,106,66,0.622642,1,stress
BNP.PA,INGA.AS,0.9,0.04444,0.054349,1055,106,106,62,0.584906,1,stress
CBK.DE,INGA.AS,0.9,0.055257,0.054349,1055,106,106,67,0.632075,1,stress
DBK.DE,INGA.AS,0.9,0.046608,0.054349,1055,106,106,65,0.613208,1,stress
GLE.PA,INGA.AS,0.9,0.05287,0.054349,1055,106,106,61,0.575472,1,stress
INGA.AS,INGA.AS,0.9,0.054349,0.054349,1055,106,106,106,1.0,1,stress
ISP.MI,INGA.AS,0.9,0.040748,0.054349,1055,106,106,64,0.603774,1,stress
SAN.MC,INGA.AS,0.9,0.039879,0.054349,1055,106,106,65,0.613208,1,stress
BBVA.MC,ISP.MI,0.9,0.038584,0.040748,1055,106,106,66,0.622642,1,stress
BNP.PA,ISP.MI,0.9,0.04444,0.040748,1055,106,106,65,0.613208,1,stress
CBK.DE,ISP.MI,0.9,0.055257,0.040748,1055,106,106,63,0.59434,1,stress
DBK.DE,ISP.MI,0.9,0.046608,0.040748,1055,106,106,60,0.566038,1,stress
