BBVA.MC,BNP.PA,CBK.DE,DBK.DE,GLE.PA,INGA.AS,ISP.MI,SAN.MC
1.0,0.54717,0.509434,0.528302,0.584906,0.566038,0.509434,0.792453
0.54717,1.0,0.528302,0.509434,0.622642,0.566038,0.54717,0.566038
0.509434,0.528302,1.0,0.698113,0.509434,0.622642,0.509434,0.509434
0.528302,0.509434,0.698113,1.0,0.528302,0.622642,0.490566,0.566038
0.584906,0.622642,0.509434,0.528302,1.0,0.566038,0.54717,0.566038
0.566038,0.566038,0.622642,0.622642,0.566038,1.0,0.471698,0.566038
0.509434,0.54717,0.509434,0.490566,0.54717,0.471698,1.0,0.528302
0.792453,0.566038,0.509434,0.566038,0.566038,0.566038,0.528302,1.0
