BBVA.MC,BNP.PA,CBK.DE,DBK.DE,GLE.PA,INGA.AS,ISP.MI,SAN.MC
1.0,0.548148,0.422222,0.522222,0.559259,0.518519,0.544444,0.725926
0.548148,1.0,0.488889,0.540741,0.696296,0.614815,0.544444,0.548148
0.422222,0.488889,1.0,0.492593,0.492593,0.514815,0.433333,0.440741
0.522222,0.540741,0.492593,1.0,0.533333,0.52963,0.5,0.52963
0.559259,0.696296,0.492593,0.533333,1.0,0.603704,0.52963,0.574074
0.518519,0.614815,0.514815,0.52963,0.603704,1.0,0.574074,0.514815
0.544444,0.544444,0.433333,0.5,0.52963,0.574074,1.0,0.544444
0.725926,0.548148,0.440741,0.52963,0.574074,0.514815,0.544444,1.0
