BBVA.MC,BNP.PA,CBK.DE,DBK.DE,GLE.PA,INGA.AS,ISP.MI,SAN.MC
1.0,0.758959,0.65514,0.718985,0.743405,0.727562,0.740943,0.883946
0.758959,1.0,0.677839,0.759391,0.83444,0.767983,0.744306,0.778846
0.65514,0.677839,1.0,0.737185,0.683281,0.672315,0.648248,0.663598
0.718985,0.759391,0.737185,1.0,0.751062,0.736093,0.69835,0.741172
0.743405,0.83444,0.683281,0.751062,1.0,0.738253,0.730761,0.756795
0.727562,0.767983,0.672315,0.736093,0.738253,1.0,0.717323,0.734844
0.740943,0.744306,0.648248,0.69835,0.730761,0.717323,1.0,0.748631
0.883946,0.778846,0.663598,0.741172,0.756795,0.734844,0.748631,1.0
