risk_measure,asset,probability_level,stress_regime,observations,baseline_mean,regime_mean,mean_difference,mean_ratio,baseline_median,regime_median,median_difference,min_difference,max_difference
VaR,DBK.DE,0.995,0,4221,0.065366,0.059631,-0.005735,0.912232,0.0622,0.056742,-0.005459,-0.01526,-0.002953
VaR,DBK.DE,0.995,1,1055,0.116159,0.146889,0.03073,1.26466,0.098467,0.124527,0.026061,0.011922,0.081001
VaR,GLE.PA,0.99,0,4221,0.052991,0.047024,-0.005966,0.887283,0.049132,0.043596,-0.005536,-0.025478,-0.002785
VaR,GLE.PA,0.99,1,1055,0.103943,0.13747,0.033527,1.322894,0.087022,0.115117,0.028095,0.010456,0.090678
VaR,GLE.PA,0.995,0,4221,0.064823,0.057001,-0.007823,0.879217,0.060111,0.052853,-0.007258,-0.033404,-0.003651
VaR,GLE.PA,0.995,1,1055,0.12705,0.165766,0.038716,1.304993,0.106385,0.138829,0.032443,0.012074,0.104711
VaR,INGA.AS,0.99,0,4221,0.048071,0.04437,-0.003701,0.922905,0.043303,0.039965,-0.003338,-0.013854,-0.001546
VaR,INGA.AS,0.99,1,1055,0.114461,0.140953,0.026492,1.231789,0.087798,0.108146,0.020348,0.007004,0.104788
VaR,INGA.AS,0.995,0,4221,0.058759,0.05377,-0.004989,0.915002,0.052942,0.048443,-0.004499,-0.018675,-0.002085
VaR,INGA.AS,0.995,1,1055,0.139758,0.174435,0.034677,1.248419,0.107228,0.133863,0.026635,0.009168,0.137163
VaR,ISP.MI,0.99,0,4221,0.048629,0.043877,-0.004751,0.902134,0.043231,0.039001,-0.00423,-0.027532,-0.002334
VaR,ISP.MI,0.99,1,1055,0.086777,0.109411,0.022633,1.261275,0.070844,0.08935,0.018505,0.007863,0.070602
VaR,ISP.MI,0.995,0,4221,0.058142,0.051491,-0.006651,0.885456,0.051701,0.04578,-0.005921,-0.038539,-0.003267
VaR,ISP.MI,0.995,1,1055,0.103666,0.133118,0.029452,1.284515,0.084653,0.108733,0.02408,0.010232,0.091871
VaR,SAN.MC,0.99,0,4221,0.045951,0.043044,-0.002907,0.93668,0.042546,0.039852,-0.002694,-0.013537,-0.001289
VaR,SAN.MC,0.99,1,1055,0.078698,0.093237,0.014539,1.1849,0.071688,0.08494,0.013251,0.005853,0.042005
VaR,SAN.MC,0.995,0,4221,0.054316,0.049881,-0.004435,0.918279,0.050297,0.046188,-0.00411,-0.020655,-0.001966
VaR,SAN.MC,0.995,1,1055,0.092969,0.114678,0.021709,1.233675,0.084696,0.104482,0.019786,0.00874,0.062721
