BBVA.MC,BNP.PA,CBK.DE,DBK.DE,GLE.PA,INGA.AS,ISP.MI,SAN.MC
1.0,0.400125,0.306943,0.360884,0.384281,0.368907,0.381843,0.566033
0.400125,1.0,0.325038,0.400577,0.490158,0.409685,0.385177,0.421576
0.306943,0.325038,1.0,0.378157,0.329544,0.320532,0.301662,0.313556
0.360884,0.400577,0.378157,1.0,0.391985,0.377094,0.342385,0.382068
0.384281,0.490158,0.329544,0.391985,1.0,0.379199,0.371952,0.397874
0.368907,0.409685,0.320532,0.377094,0.379199,1.0,0.359352,0.375881
0.381843,0.385177,0.301662,0.342385,0.371952,0.359352,1.0,0.389518
0.566033,0.421576,0.313556,0.382068,0.397874,0.375881,0.389518,1.0
