BBVA.MC,BNP.PA,CBK.DE,DBK.DE,GLE.PA,INGA.AS,ISP.MI,SAN.MC
0.0,0.096933,0.172941,0.139676,0.163105,0.172673,0.016543,0.181078
0.096933,0.0,0.163373,0.04024,-0.026648,0.04945,0.068497,0.092104
0.172941,0.163373,0.0,0.314227,0.139766,0.257713,0.172941,0.168202
0.139676,0.04024,0.314227,0.0,0.078065,0.20558,0.087722,0.134758
0.163105,-0.026648,0.139766,0.078065,0.0,0.082625,0.11589,0.125279
0.172673,0.04945,0.257713,0.20558,0.082625,0.0,0.035679,0.101583
0.016543,0.068497,0.172941,0.087722,0.11589,0.035679,0.0,0.054368
0.181078,0.092104,0.168202,0.134758,0.125279,0.101583,0.054368,0.0
