asset,degree,weighted_degree
INGA.AS,7,3.87037
GLE.PA,6,3.496296
BNP.PA,6,3.492593
SAN.MC,6,3.437037
BBVA.MC,6,3.418519
ISP.MI,6,3.237037
DBK.DE,6,3.155556
CBK.DE,1,0.514815
